StockistCode,StateID,StateName,DistrictName,CityName,CityID,RMName,DGMName
AIOCDX101,9,HARYANA,KARNAL,KARNAL,7,VACANCY,VACANCY
AIOCDX185,8,GUJARAT,AHMEDABAD,AHMEDABAD,48,VACANCY,VACANCY
AIOCDX197,17,Punjab & JHC,SRI MUKTSAR,SRI MUKTSAR,608,VACANCY,VACANCY
AIOCDX198,17,Punjab & JHC,SRI MUKTSAR,SRI MUKTSAR,608,VACANCY,VACANCY
AIOCDX209,2,ANDHRA PRADESH,NELLORE,NELLORE,247,VACANCY,VACANCY
MHPU200616,7,MARATHWADA,PUNE,PIMPRI-CHINCHWAD,1191,VACANCY,VACANCY
MHPU200617,7,MARATHWADA,PUNE,HAVELI,2362,VACANCY,VACANCY
AIOCDX170,17,Punjab & JHC,LUDHIANA,LUDHIANA,35,VACANCY,VACANCY
AIOCDX171,2,ANDHRA PRADESH,GUNTUR,MACHERLA,1415,VACANCY,VACANCY
AIOCDW830,11,JHARKHAND,SAHIBGANJ,BARHARWA,679,VACANCY,VACANCY
AIOCDW914,15,MADHYA PRADESH,BARWANI,BARWANI,538,VACANCY,VACANCY
AIOCDW823,14,KARNATAKA,BELGAVI (BELGAUM),BELGAVI (BELGAUM),539,VACANCY,VACANCY
AIOCDW876,21,UP EAST,MAHARAJGANJ,ANAND NAGAR,2724,VACANCY,VACANCY
AIOCDW933,21,UP EAST,MAHARAJGANJ,MAHARAJGANJ,1066,VACANCY,VACANCY
AIOCDW905,23,KOLKATA,24 PARGANAS NORTH,BARASAT,535,VACANCY,VACANCY
AIOCDW922,20,UTTARAKHAND UP WEST,BHADOHI(SANT RAVIDAS NAGAR),BHADOHI,2190,VACANCY,VACANCY
AIOCDX110,19,TAMIL NADU,VELLORE,VELLORE,654,VACANCY,VACANCY
AIOCDX158,9,HARYANA,KURUKSHETRA,KURUKSHETRA,1063,VACANCY,VACANCY
AIOCDX216,20,UTTARAKHAND UP WEST,JALAUN              ,ORAI,302,VACANCY,VACANCY
AIOCDX217,19,TAMIL NADU,DINDIGUL,PALANI,497,VACANCY,VACANCY
AIOCDW509,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDW527,20,UTTARAKHAND UP WEST,KANPUR,KANPUR,219,VACANCY,VACANCY
AIOCDW547,17,Punjab & JHC,FARIDKOT,FARIDKOT,702,VACANCY,VACANCY
AIOCDW584,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDW528,2,ANDHRA PRADESH,PRAKASAM,ONGOLE,496,VACANCY,VACANCY
AIOCDW553,1,TELANGANA,HYDERABAD,HYDERABAD,855,VACANCY,VACANCY
AIOCDW561,1,TELANGANA,HYDERABAD,HYDERABAD,855,VACANCY,VACANCY
AIOCDW574,1,TELANGANA,HYDERABAD,HYDERABAD,855,VACANCY,VACANCY
AIOCDW598,22,WEST BENGAL REST,BIRBHUM,BOLPUR,170,VACANCY,VACANCY
MHWS200039,24,VIDARBHA,WASHIM,WASHIM,1256,VACANCY,VACANCY
AIOCDW521,15,MADHYA PRADESH,INDORE,MHOW,301,VACANCY,VACANCY
AIOCDW517,20,UTTARAKHAND UP WEST,DEHRADUN,DEHRADUN,116,VACANCY,VACANCY
AIOCDW546,20,UTTARAKHAND UP WEST,BAREILLY,BAREILLY,113,VACANCY,VACANCY
AIOCDW548,20,UTTARAKHAND UP WEST,DEHRADUN,DEHRADUN,116,VACANCY,VACANCY
AIOCDW600,20,UTTARAKHAND UP WEST,BAREILLY,BAREILLY,113,VACANCY,VACANCY
AIOCDW560,22,WEST BENGAL REST,JALPAIGURI,BIRPARA,548,VACANCY,VACANCY
AIOCDW523,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDW581,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
MHWS200041,12,MUMBAI,PALGHAR,VASAI-VIRAR,1202,VACANCY,VACANCY
AIOCDW594,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
MHWS200042,12,MUMBAI,PALGHAR,NALA SOPARA,1930,VACANCY,VACANCY
MHWD200056,24,VIDARBHA,WARDHA,WARDHA,530,VACANCY,VACANCY
AIOCDW354,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDW503,15,MADHYA PRADESH,BHOPAL,BHOPAL,100,VACANCY,VACANCY
AIOCDW655,8,GUJARAT,RAJKOT,UPLETA,44,VACANCY,VACANCY
AIOCDW633,22,WEST BENGAL REST,BARDHAMAN,BARDHAMAN,1366,VACANCY,VACANCY
AIOCDW498,20,UTTARAKHAND UP WEST,KANPUR,KANPUR,219,VACANCY,VACANCY
AIOCDW654,8,GUJARAT,RAJKOT,RAJKOT,45,VACANCY,VACANCY
AIOCDW656,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDW657,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDW668,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
MHWS200044,12,MUMBAI,PALGHAR,VASAI-VIRAR,1202,VACANCY,VACANCY
MHBU200100,24,VIDARBHA,BULDHANA,BULDHANA,1553,VACANCY,VACANCY
AIOCDW470,8,GUJARAT,KUTCH,BHUJ,58,VACANCY,VACANCY
AIOCDW643,4,BIHAR,PATNA,PATNA,23,VACANCY,VACANCY
AIOCDW659,15,MADHYA PRADESH,BHOPAL,BHOPAL,100,VACANCY,VACANCY
AIOCDW666,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDW961,14,KARNATAKA,DAVANGERE,DAVANGERE,835,VACANCY,VACANCY
AIOCDW962,14,KARNATAKA,DAVANGERE,DAVANGERE,835,VACANCY,VACANCY
AIOCDW847,15,MADHYA PRADESH,BHOPAL,BHOPAL,100,VACANCY,VACANCY
AIOCDW889,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDW928,15,MADHYA PRADESH,BHOPAL,BHOPAL,100,VACANCY,VACANCY
AIOCDX138,22,WEST BENGAL REST,BARDHAMAN,KATWA,366,VACANCY,VACANCY
AIOCDX139,22,WEST BENGAL REST,BARDHAMAN,KATWA,366,VACANCY,VACANCY
AIOCDW822,22,WEST BENGAL REST,JALPAIGURI,JALPAIGUDI,2009,VACANCY,VACANCY
AIOCDW826,8,GUJARAT,RAJKOT,RAJKOT,45,VACANCY,VACANCY
AIOCDW837,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDW908,22,WEST BENGAL REST,BARDHAMAN,BARDHAMAN,1366,VACANCY,VACANCY
AIOCDW909,22,WEST BENGAL REST,BARDHAMAN,BARDHAMAN,1366,VACANCY,VACANCY
AIOCDX079,20,UTTARAKHAND UP WEST,KANPUR,KANPUR,219,VACANCY,VACANCY
AIOCDX080,20,UTTARAKHAND UP WEST,KANPUR,KANPUR,219,VACANCY,VACANCY
AIOCDX119,20,UTTARAKHAND UP WEST,KANPUR,KANPUR,219,VACANCY,VACANCY
AIOCDX160,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX161,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX162,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX163,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX164,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX165,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX166,21,UP EAST,LUCKNOW,LUCKNOW,204,VACANCY,VACANCY
AIOCDX022,20,UTTARAKHAND UP WEST,HARDOI,HARDOI,120,VACANCY,VACANCY
AIOCDX040,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX041,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX042,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX043,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX044,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX045,15,MADHYA PRADESH,INDORE,INDORE,103,VACANCY,VACANCY
AIOCDX056,22,WEST BENGAL REST,JALPAIGURI,JALPAIGUDI,2009,VACANCY,VACANCY
AIOCDX057,22,WEST BENGAL REST,JALPAIGURI,JALPAIGUDI,2009,VACANCY,VACANCY
AIOCDW840,20,UTTARAKHAND UP WEST,ETAWAH,ETAWAH,224,VACANCY,VACANCY
AIOCDW848,20,UTTARAKHAND UP WEST,ETAWAH,ETAWAH,224,VACANCY,VACANCY
AIOCDX210,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDX220,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDW974,22,WEST BENGAL REST,JALPAIGURI,DHUPGURI,695,VACANCY,VACANCY
AIOCDW975,22,WEST BENGAL REST,JALPAIGURI,DHUPGURI,695,VACANCY,VACANCY
AIOCDW985,1,TELANGANA,JOGULAMBA GADWAL,GADWAL,1298,VACANCY,VACANCY
AIOCDW878,22,WEST BENGAL REST,BARDHAMAN,ASANSOL,162,VACANCY,VACANCY
AIOCDW879,22,WEST BENGAL REST,BARDHAMAN,ASANSOL,162,VACANCY,VACANCY
AIOCDW881,22,WEST BENGAL REST,BARDHAMAN,ASANSOL,162,VACANCY,VACANCY
AIOCDW930,20,UTTARAKHAND UP WEST,BIJNOR,BIJNOR,220,VACANCY,VACANCY
AIOCDX200,4,BIHAR,MADHEPURA,MADHEPURA,19,VACANCY,VACANCY
AIOCDX470,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDX473,6,DELHI,NEW DELHI,NEW DELHI,1918,VACANCY,VACANCY
AIOCDX086,2,ANDHRA PRADESH,PRAKASAM,ONGOLE,496,VACANCY,VACANCY
AIOCDX111,1,TELANGANA,HYDERABAD,HYDERABAD,855,VACANCY,VACANCY
AIOCDX215,2,ANDHRA PRADESH,PRAKASAM,ONGOLE,496,VACANCY,VACANCY
AIOCDW511,17,Punjab & JHC,AMRITSAR,AMRITSAR,29,VACANCY,VACANCY
AIOCDW508,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDW512,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
AIOCDW522,20,UTTARAKHAND UP WEST,GHAZIABAD,GHAZIABAD,119,VACANCY,VACANCY
AIOCDW545,3,NORTH EAST,KAMRUP METROPOLITAN,GUWAHATI,714,VACANCY,VACANCY
